partido_id , equipo_id, accion, minuto, autor
20, 10, gol - volea, 59, Isco
20, 6, gol, 90, João Félix
20, 6, gol, 90+2, Ferran Torres
53, 1, gol, 1, Gorka Guruzeta 
53, 6, gol, 26, Robert Lewandowski
53, 6, gol, 32, Lamine Yamal
53, 1, gol - cabeza, 49, Oihan Sancet
53, 1, gol, 105+2, Iñaki Williams
53, 1, gol, 120+1, Nico Williams
21, 20, gol, 41, Gerard Moreno 
21, 20, gol, 54, Ilias Akhomach
21, 6, gol, 60, Ilkay Gündogan
21, 6, gol, 68, Pedri
21, 6, gol - en contra, 71, Eric Bailly
21, 20, gol, 84, Goncalo Guedes
21, 20, gol, 90+9, Alexander Sørloth
21, 20, gol, 90+12, José Luis Morales
22, 6, gol - cabeza, 63, Vitor Roque
23, 6, gol, 22, Robert  Lewandowski
23, 6, gol - volea, 49, Ilkay Gündogan
23, 9, gol - cabeza, 51, Samu
23, 6, gol, 63, Vitor  Roque
24, 6, gol - volea, 14, Lamine Yamal
24, 8, gol, 43, Ricard Sánchez
24, 8, gol, 60, Facundo Pellistri 
24, 6, gol, 63, Robert Lewandowski 
24, 8, gol - cabeza, 66, Ignasi Miquel
24, 6, gol, 80, Lamine Yamal
45, 6, gol, 60, Robert Lewandowski
45, 24, gol, 75, Victor Osimhen
26, 6, gol, 20, Raphinha
26, 6, gol, 53, João Félix
26, 6, gol, 61, Frenkie de Jong
26, 6, gol - volea, 90+1, Fermín López
27, 6, gol, 73, Lamine Yamal
46, 6, gol, 15, Fermín López
46, 6, gol, 17, João Cancelo
46, 24, gol, 30, Amir Rrahmani
46, 6, gol, 83, Robert Lewandowski
28, 6, gol, 38, João Félix
28, 6, gol, 47, Robert Lewandowski
28, 6, gol - cabeza, 65, Fermín López
29, 6, gol - cabeza, 59, Raphinha
47, 6, gol, 37, Raphinha
47, 25, gol, 48, Ousmane Dembélé
47, 25, gol, 50, Vitinha
47, 6, gol - volea, 62, Raphinha
47, 6, gol - cabeza, 77, Andreas Christensen
